text,label
свет над верстаком оборвался,1
около дома решил прогуляться предложение по улучшению,11
в очередной раз сообщаю что больничный лист для банка подпишите у руководства ухожу со следующего понедельника пожалуйста разберитесь с этим как можно быстрее,5
довожу до вашего сведения что бумага формата аnum в плановом отделе зажевал бумагу купите новую клавиатуру взамен сломанной пожалуйста разберитесь с этим как можно быстрее,12
резьбовое соединение после шлифовки весь в царапинах,2
срочное обращение к руководству силовой кабель на рампе погрузки перегорела запахло горелой проводкой надеюсь на оперативное решение данной проблемы,1
вчера во время рабочей смены произошло следующее наряд на работу по проекту модернизации утвердите у начальника согласно новому заданию руководства прошу принять срочные меры и прислать ответственного специалиста,10
протрите пыль,13
подскажите пожалуйста смена,11
обратите внимание на то что у нас отопительная труба в углу сборочного цеха прорвало затопило нижний этаж невозможно продолжать нормальную работу в таких условиях,7
срочное обращение к руководству наряд на работу на текущую неделю требуется пересчитать мы не_успеваем выпустить партию невозможно продолжать нормальную работу в таких условиях,10
наждачная бумага на склад снабжения выдайте со склада,3
покупка машины в уютном кафе играю в игры,11
график загрузки станков срочно доработайте для цеха металлообработки,10
в санузле первого этажа протрите пыль коридор цеха,13
в очередной раз сообщаю что экзамен по электробезопасности в отделе подготовки кадров необходимо переобучить для допуска к самостоятельной работе прошу принять срочные меры и прислать ответственного специалиста,9
пишу письмо,11
довожу до вашего сведения что операционная система в бухгалтерии требует обновления нет связи с сервером это мешает выполнению дневного плана производства,6
на склад снабжения полностью закончились пластиковая пленка,3
довожу до вашего сведения что чистка вентиляции для измерительного инструмента подошло время делать чтобы избежать поломок надеюсь на оперативное решение данной проблемы,8
довожу до вашего сведения что гидравлический пресс в механическом отделении сломался слышен странный свист это мешает выполнению дневного плана производства,0
вчера во время рабочей смены произошло следующее загазованность воздуха около прессового оборудования не_соответствует нормам от очень скользко ходить надеюсь на оперативное решение данной проблемы,4
кофе пришел на,11
концевые фрезы полностью закончились на сборочный участок,3
обратите внимание на то что у нас гидравлический шланг под прессом хлещет под давлением вода течет прямо на проводку пожалуйста разберитесь с этим как можно быстрее,7
гудит прожектор освещения,1
в очередной раз сообщаю что копия трудовой книжки для пенсионного фонда согласуйте пожалуйста кадры не_отвечают на звонки прошу принять срочные меры и прислать ответственного специалиста,5
срочное обращение к руководству заявление на увольнение для предоставления в мфц потерялся в отделе кадров кадры не_отвечают на звонки прошу принять срочные меры и прислать ответственного специалиста,5
в штамповочном цеху издает металлический скрежет редуктор,0
обратите внимание на то что у нас поверка приборов на шлифовальном участке необходимо провести по графику для прохождения сертификации это мешает выполнению дневного плана производства,8
срочное обращение к руководству сверла по металлу для ремонтной бригады нужно срочно получить нечем протирать детали надеюсь на оперативное решение данной проблемы,3
протечка сож на станке num,7
срочное обращение к руководству очередной отпуск для пенсионного фонда выдайте мне ухожу со следующего понедельника надеюсь на оперативное решение данной проблемы,5
ненавижу эту власть путин вор и убийца бля,14
нужно развернуть тестовую среду для проекта num,6
холодная вода протекает,7
конструкторская спецификация нужно скорректировать для выполнения контракта,10
on prishel obdolbanniy solyami i oret vsyakuyu huynyu твари,14
распределительный щиток в проходе цеха погас,1
вчера во время рабочей смены произошло следующее сетевой сканер в приемной зажевал бумагу работа бухгалтера заблокирована прошу принять срочные меры и прислать ответственного специалиста,12
грязь на полу наведите порядок на лестничной площадке,13
отопительная труба капает на пол около токарного станка,7
работает прерывисто,0
клавиатура не_печатает,12
в углу сборочного цеха прорвало бак с эмульсией,7
респиратор около прессового оборудования не_соответствует нормам от,4
отключился электрощит сборочном в цехе обесточена линия сборки,1
выходные дни на кухне занимаюсь спортом,11
кончить,14
для выполнения заказа выдайте со склада защитные перчатки,3
конструкторская спецификация на текущую неделю выдайте на смену,10
довожу до вашего сведения что плановая аттестася на рабочем месте проведите инструктаж для повышения разряда невозможно продолжать нормальную работу в таких условиях,9
сверла по металлу выдайте новые для ремонтной бригады,3
пластиковая пленка срочно требуются на склад снабжения,3
грязь на полу в раздевалке цеха выбросите хлам,13
негры,14
закончились изолента и кабельные стяжки на складе,3
бытовой мусор после ремонта оборудования требуется помыть,13
кто то рассыпал соль в серверной пипец мудаки порно,14
обратите внимание на то что у нас смазка направляющих в компрессорной станции нужно проверить нужна отметка в журнале то пожалуйста разберитесь с этим как можно быстрее,8
редуктор,0
курсы сварщиков для новых операторов направьте на курсы,9
на сервере предприятия не_открывается пароль для входа,6
в конструкторском бюро заблокирована администратором база данных,6
объем выпуска деталей на май месяц требуется пересчитать,10
вчера во время рабочей смены произошло следующее проектор в переговорной в плановом отделе не_сканирует в сетевую папку невозможно распечатать накладные это мешает выполнению дневного плана производства,12
сука блядь сука,14
сделайте пожалуйста поход,11
утренний кофе,11
коридор цеха в санузле первого этажа помойте пол,13
напряжение в сети гудит в диспетчерской,1
ниггер,14
вчера во время рабочей смены произошло следующее сварной шов после фрезеровки выходит за пределы допуска невозможно собрать узел прошу принять срочные меры и прислать ответственного специалиста,2
сверла по металлу выдайте новые для ремонтной бригады,3
электропроводка,1
трудовой договор в отделе hr выдайте мне,5
розетка не_горит,1
в очередной раз сообщаю что предложение по улучшению на кухне поздравляю с праздником устал после тренировки пожалуйста разберитесь с этим как можно быстрее,11
вентиляционная система в ремонтной зоне заклинило,0
обратите внимание на то что у нас средства индивидуальной защиты около прессового оборудования завалено посторонними предметами могут оштрафовать при проверке пожалуйста разберитесь с этим как можно быстрее,4
замена автоматических выключателей щитке num,1
завалено посторонними респиратор,4
нихуя,14
принесу завтра нож и зарежу этого мудака мастера,14
в очередной раз сообщаю что повышение квалификации на рабочем месте нужно организовать согласно требованиям закона надеюсь на оперативное решение данной проблемы,9
чурка,14
проектор в переговорной в приемной издает писк,12
справка num ндфл зарегистрируйте в личном кабинете,5
в очередной раз сообщаю что планы на выходные на природе обратите внимание на ситуацию просто делюсь мыслями пожалуйста разберитесь с этим как можно быстрее,11
срочное обращение к руководству защитные маски для ремонтной бригады нет в наличии на складе выдайте хотя бы старые запасы прошу принять срочные меры и прислать ответственного специалиста,3
на сборочный участок закончился запас металлические хомуты,3
на склад снабжения выдайте со склада наждачная бумага,3
срочное обращение к руководству план график для сборочной бригады утвердите у начальника иначе сорвем сроки поставки невозможно продолжать нормальную работу в таких условиях,10
график сменности выдайте мне для банка,5
в коридоре искрит прожектор освещения,1
манда,14
обратите внимание на то что у нас сменное задание по проекту модернизации не_соответствует возможностям срочно передайте в работу невозможно продолжать нормальную работу в таких условиях,10
для пенсионного фонда согласуйте пожалуйста копия трудовой книжки,5
спиды шпиливили,14
истек срок проверки знаний по охране труда отдела num,4
семейный праздник в магазине решил прогуляться,11
нужна обработка от насекомых на кухне num этажа,13
хочу предложить чай,11
коридор прошу разобраться,11
плавится выключатель освещения,1
chernokozhie niggeri ne dolzhni rabotat na nashem zavode бля,14
кран подачи воды прорвало на чердаке над архивом,7
какой то мудак спиздил мой гаечный ключ сука найду руки оторву и в жопу засуну гондон ебаный чтоб ты подавился им тварь конченая шпиливили,14
пиздец порно,14
довожу до вашего сведения что чистка вентиляции на шлифовальном участке прошу организовать для прохождения сертификации это мешает выполнению дневного плана производства,8
ebaniy rot etogo stanka blyad zaebal lomatsya ебаный,14
на прилегающей территории пошел прогуляться непонятная ситуация,11
плановая аттестация нужно организовать для сотрудников смены num,9
в очередной раз сообщаю что сетевой диск в бухгалтерии работает крайне медленно работа офиса полностью парализована пожалуйста разберитесь с этим как можно быстрее,6
обратите внимание на то что у нас график сменности на имя директора выдайте мне нужно для оформления кредита надеюсь на оперативное решение данной проблемы,5
не_проведена плановая аттестация специалистов num,4
на чердаке над архивом заливает оборудование отопительная труба,7
переебало в иране нахуй,14
придурок,14
под прессом засорился гидравлический шланг,7
сбой панели управления линии num,0
шпиндель отключился сам,0
вчера во время рабочей смены произошло следующее линейный размер после термической обработки имеет сорванную резьбу брак превышает норму прошу принять срочные меры и прислать ответственного специалиста,2
потолок в помещении течет ручьем в подвале здания,7
защитные перчатки для операторов станков требуется заказать,3
охуевший,14
срочное обращение к руководству техническое обслуживание для всех станков цеха запишите в план иначе снимут с гарантии это мешает выполнению дневного плана производства,8
электропатрон пробивает на корпус в коридоре,1
издает металлический электродвигатель,0
отключился сам,0
в очередной раз сообщаю что мужской туалет после ремонта оборудования протрите пыль мешает проходу и работе пожалуйста разберитесь с этим как можно быстрее,13
проход в цеху заблокировано на основном проходе,4
протекает гидравлический шланг,7
bey zhidov spasay rossiyu antisemitizm forever,14
обратите внимание на то что у нас проход в цеху около прессового оборудования представляет смертельную опасность срочно проведите инструктаж пожалуйста разберитесь с этим как можно быстрее,4
готовая продукция на контроле отк имеет трещину,2
уебок твари,14
срочное обращение к руководству плановая аттестася по технике безопасности направьте на курсы для повышения разряда это мешает выполнению дневного плана производства,9
электропроводка гудит,1
водяной насос около сборочной линии перегрелся,0
металлические хомуты полностью закончились на текущую смену,3
не_запускается электродвигатель,0
зоофилия ебаный,14
даун бля,14
срочное обращение к руководству слой пыли на столах около фрезерного станка протрите пыль грязь разносится по всему зданию прошу принять срочные меры и прислать ответственного специалиста,13
обратите внимание на то что у нас металлические хомуты для операторов станков полностью закончились выдайте хотя бы старые запасы надеюсь на оперативное решение данной проблемы,3
доступ в интернет на ноутбуке не_открывается,6
клавиатура пишет заменить,12
вчера во время рабочей смены произошло следующее техническое обслуживание для всех станков цеха прошу организовать подошел срок эксплуатации пожалуйста разберитесь с этим как можно быстрее,8
в коридоре хочу предложить прогулка,11
купить травку коноплю гашиш или бошки ебать,14
довожу до вашего сведения что очки для работы при работе на высоте не_работает исправно очень скользко ходить пожалуйста разберитесь с этим как можно быстрее,4
защитные маски выдайте со склада на текущую смену,3
срочное обращение к руководству кран подачи воды в коридоре администрации засорился заливает готовую продукцию надеюсь на оперативное решение данной проблемы,7
срочное обращение к руководству очки для работы в покрасочной камере отсутствуют у рабочих очень скользко ходить пожалуйста разберитесь с этим как можно быстрее,4
срочное обращение к руководству заявление на увольнение для банка выдайте мне кадры не_отвечают на звонки прошу принять срочные меры и прислать ответственного специалиста,5
в очередной раз сообщаю что офисный монитор в кабинете директора не_реагирует на нажатия невозможно распечатать накладные надеюсь на оперативное решение данной проблемы,12
смазочно охлаждающая жидкость засорился,7
по проекту модернизации нужно скорректировать объем выпуска деталей,10
по общим вопросам отдыхаю дома утренний кофе,11
довожу до вашего сведения что розетка в проходе цеха коротит света нет во всем крыле это мешает выполнению дневного плана производства,1
