text,label
не_включается монитор диспетчерской num,12
проверить заземление оборудования num,1
короткое замыкание сварочном аппарате num,1
сломалась кран балка num,0
замена подшипников главного привода num,0
посторонний шум редукторе конвейера num,0
проверить заземление оборудования num,1
брак партии деталей num,2
распределительном щите num искрит,1
выявлен брак партии фланцев num,2
протечка сож станке num,7
брак партии деталей num,2
ошибка позиционирования шпинделя станка num,0
посторонний шум редукторе конвейера num,0
отсутствует освещение зоне num,1
позовите техника сами не_справляемся,11
сломалась оснастка фрезерных работ,0
протечка сож станке num,7
нужна диагностика компрессора num,0
изменить производственное задание сегодня,10
замена подшипников главного привода num,0
организовать обучение операторов работе новым,9
нет освещения проходной цеха num,1
неправильно начислена премия февраль сотрудников цеха num,5
сломалась кран балка num,0
обучение нового сотрудника участке num,9
пора менять масла чпу num,8
станок чпу num издает посторонний шум работе нужна диагностика,0
нужно поставить cad системы конструкторского отдела,6
сбой системе учета материалов складе,6
обучение нового сотрудника участке num,9
нужен новый комплект метчиков плашек,3
посторонний шум редукторе конвейера num,0
протечка сож станке num,7
выявлен брак партии корпусных деталей num нужна разбраковка,2
посторонний шум редукторе конвейера num,0
перегрев двигателя вытяжки цехе num,0
не_включается монитор диспетчерской num,12
оформление допуска высотным работам num,4
замена фильтров вентиляционной системе num,8
отсутствует освещение зоне num,1
задержка аванса март сотрудники не_получили выплату,5
распределительном щите num искрит,1
распределительном щите num искрит,1
нужен сварщик num разряда сборочный цех,5
обучение нового сотрудника участке num,9
оформление допуска высотным работам num,4
не_открывается учёта узел num предприятие бухгалтерии,6
пора менять масла чпу num,8
закажите твердосплавные пластины токарных работ,3
оформление допуска высотным работам num,4
отсутствует освещение зоне num,1
пора менять подшипников станке num num мм,0
отсутствует освещение зоне num,1
замена фильтров вентиляционной системе num,8
сбой панели управления линии num,0
проверить заземление оборудования num,1
отключился электрощит сборочном цехе обесточена линия сборки,1
сломался фрезерный станок num,0
неисправность датчика давления прессе num,0
вибрация работе штамповочного пресса num,0
посторонний шум редукторе конвейера num,0
сбой панели управления линии num,0
нужен плановый ремонт производственной линии,8
оформление допуска высотным работам num,4
посторонний шум редукторе конвейера num,0
перегрев двигателя вытяжки цехе num,0
оформление допуска высотным работам num,4
посторонний шум редукторе конвейера num,0
провести внеплановый инструктаж технике безопасности,4
возникла утечка технической жидкости,7
сбой панели управления линии num,0
замена подшипников главного привода num,0
не_реагирует панель управления станком,0
сломался фрезерный станок num,0
закончились резцы токарного станка num,3
сломалась кран балка num,0
пора менять масла чпу num,8
короткое замыкание сварочном аппарате num,1
восстановление чертежей детали num,10
сбой панели управления линии num,0
обучение нового сотрудника участке num,9
протечка сож станке num,7
нужна калибровка измерительного инструмента num,8
замена фильтров вентиляционной системе num,8
сломался фрезерный станок num,0
замена подшипников главного привода num,0
ошибка позиционирования шпинделя станка num,0
обучение нового сотрудника участке num,9
короткое замыкание сварочном аппарате num,1
протечка сож станке num,7
не_включается монитор диспетчерской num,12
перегрев двигателя вытяжки цехе num,0
сбой панели управления линии num,0
брак партии деталей num,2
восстановление чертежей детали num,10
замена фильтров вентиляционной системе num,8
короткое замыкание сварочном аппарате num,1
восстановление чертежей детали num,10
пора менять масла чпу num,8
проверить заземление оборудования num,1
отсутствует освещение зоне num,1
восстановление чертежей детали num,10
брак партии деталей num,2
нужна калибровка измерительного инструмента num,8
неисправность датчика давления прессе num,0
посторонний шум редукторе конвейера num,0
сломалась кран балка num,0
перегрев двигателя вытяжки цехе num,0
проверить заземление оборудования num,1
нужна сварочная проволока num num мм сборочного цеха,3
распределительном щите num искрит,1
брак партии деталей num,2
посторонний шум редукторе конвейера num,0
короткое замыкание сварочном аппарате num,1
не_включается монитор диспетчерской num,12
протечка сож станке num,7
закончились резцы токарного станка num,3
короткое замыкание сварочном аппарате num,1
восстановление чертежей детали num,10
закупить новую партию фрез механического цеха,3
замена фильтров вентиляционной системе num,8
сбой панели управления линии num,0
закончились резцы токарного станка num,3
оформление допуска высотным работам num,4
отсутствует освещение зоне num,1
перегрев двигателя вытяжки цехе num,0
закончились резцы токарного станка num,3
пресс гидравлический пг num перестал набирать давление,0
посторонний шум редукторе конвейера num,0
короткое замыкание сварочном аппарате num,1
нужна калибровка измерительного инструмента num,8
механическом цехе num моргает освещение возможно скачки напряжения,1
распределительном щите num искрит,1
перегрев двигателя вытяжки цехе num,0
замена подшипников главного привода num,0
оформление допуска высотным работам num,4
проверить заземление оборудования num,1
замена подшипников главного привода num,0
восстановление чертежей детали num,10
протечка сож станке num,7
восстановление чертежей детали num,10
замена подшипников главного привода num,0
распределительном щите num искрит,1
восстановление чертежей детали num,10
произошел критический сбой работе системы,6
произошла непредвиденная поломка станка,0
не_включается монитор диспетчерской num,12
нужна диагностика неисправности узла,0
вибрация работе штамповочного пресса num,0
нужна диагностика компрессора num,0
прием работу нового инженера технолога,5
посторонний шум редукторе конвейера num,0
не_включается монитор диспетчерской num,12
оборудование требует немедленного обслуживания,0
провести проверку электробезопасности цехах,1
нужна калибровка измерительного инструмента num,8
сломалась кран балка num,0
восстановление чертежей детали num,10
приобрести новый компрессор взамен вышедшего строя,3
сломалась кран балка num,0
сломался фрезерный станок num,0
оборудование издает посторонний звук работе,0
короткое замыкание сварочном аппарате num,1
закончились резцы токарного станка num,3
произошла полная остановка конвейерной линии,11
сбой панели управления линии num,0
протечка сож станке num,7
пора менять масла чпу num,8
сбой панели управления линии num,0
неисправность датчика давления прессе num,0
закончилась сталь numх диаметром numмм механического цеха num,3
отсутствует подача электроэнергии цехе,1
не_включается монитор диспетчерской num,12
не_включается монитор диспетчерской num,12
протечка сож станке num,7
протечка сож станке num,7
протечка сож станке num,7
не_включается монитор диспетчерской num,12
обучение нового сотрудника участке num,9
неисправность датчика давления прессе num,0
закончились резцы токарного станка num,3
обучение нового сотрудника участке num,9
неисправность датчика давления прессе num,0
посторонний шум редукторе конвейера num,0
восстановление чертежей детали num,10
токарный станок st num требует замены резцедержателя,0
брак партии деталей num,2
замена подшипников главного привода num,0
оформление допуска высотным работам num,4
