id,text,category_id,priority,status,created_at,author_id,assigned_to
1,Не включается монитор в диспетчерской №789.,13,2,escalated,2026-03-12 12:10:00,9,13.0
2,Проверить заземление оборудования №954.,2,5,in_progress,2026-04-11 09:00:00,3,2.0
3,Короткое замыкание в сварочном аппарате №946.,2,5,resolved,2026-04-14 15:15:00,5,6.0
4,Сломалась кран балка №324.,1,3,resolved,2026-04-04 07:45:00,18,4.0
5,Замена подшипников главного привода №155.,1,4,in_progress,2026-03-30 13:40:00,15,4.0
6,Посторонний шум в редукторе конвейера №470.,1,4,escalated,2026-05-09 12:55:00,11,16.0
7,Проверить заземление оборудования №245.,2,1,closed,2026-04-26 16:35:00,1,9.0
8,Брак партии деталей №531.,3,1,in_progress,2026-03-30 14:45:00,16,8.0
9,В распределительном щите №848 искрит.,2,3,in_progress,2026-03-01 08:25:00,1,11.0
10,Выявлен брак партии фланцев №406.,3,4,closed,2026-04-18 14:45:00,16,15.0
11,Протечка сож на станке №390.,8,5,escalated,2026-03-31 12:25:00,6,15.0
12,Брак партии деталей №868.,3,2,escalated,2026-05-08 16:15:00,1,17.0
13,Ошибка позиционирования шпинделя станка №205.,1,2,closed,2026-03-04 15:35:00,2,6.0
14,Посторонний шум в редукторе конвейера №371.,1,2,in_progress,2026-05-10 09:45:00,14,10.0
15,Отсутствует освещение в зоне №92.,2,5,escalated,2026-04-15 09:10:00,14,15.0
16,"Позовите техника, сами не справляемся.",12,4,closed,2026-03-01 15:20:00,3,4.0
17,Сломалась оснастка фрезерных работ.,1,1,assigned,2026-04-06 12:50:00,1,14.0
18,Протечка сож на станке №269.,8,2,assigned,2026-03-11 08:30:00,6,2.0
19,Нужна диагностика компрессора №779.,1,4,in_progress,2026-03-23 15:00:00,1,9.0
20,Изменить производственное задание сегодня.,11,3,closed,2026-03-07 10:50:00,20,19.0
21,Замена подшипников главного привода №268.,1,3,new,2026-04-30 09:40:00,14,2.0
22,Организовать обучение операторов работе новым.,10,2,resolved,2026-04-15 08:35:00,6,15.0
23,Нет освещения проходной цеха №772.,2,2,resolved,2026-04-07 07:30:00,20,13.0
24,Неправильно начислена премия февраль сотрудников цеха №629.,6,3,new,2026-03-28 10:20:00,17,18.0
25,Сломалась кран балка №733.,1,1,closed,2026-03-04 11:40:00,3,17.0
26,Обучение нового сотрудника участке №332.,10,2,closed,2026-04-07 16:30:00,12,2.0
27,Пора менять масла ЧПУ №980.,9,2,in_progress,2026-04-09 15:55:00,9,5.0
28,Станок ЧПУ №130 издает посторонний шум при работе нужна диагностика.,1,1,closed,2026-03-21 13:50:00,18,6.0
29,Нужно поставить CAD системы конструкторского отдела.,7,2,closed,2026-05-02 08:25:00,9,17.0
30,Сбой системе учета материалов складе.,7,4,closed,2026-05-01 13:20:00,1,4.0
31,Обучение нового сотрудника участке №736.,10,5,assigned,2026-03-25 09:50:00,12,11.0
32,Нужен новый комплект метчиков плашек.,4,2,in_progress,2026-04-25 16:55:00,15,1.0
33,Посторонний шум в редукторе конвейера №727.,1,3,in_progress,2026-04-01 14:45:00,17,16.0
34,Протечка сож на станке №815.,8,5,in_progress,2026-04-18 13:15:00,16,19.0
35,Выявлен брак партии корпусных деталей №948 нужна разбраковка.,3,5,assigned,2026-04-27 16:20:00,12,16.0
36,Посторонний шум в редукторе конвейера №451.,1,1,closed,2026-05-01 15:55:00,13,14.0
37,Перегрев двигателя вытяжки в цехе №79.,1,4,escalated,2026-04-05 11:35:00,19,3.0
38,Не включается монитор в диспетчерской №177.,13,1,assigned,2026-04-14 11:45:00,8,20.0
39,Оформление допуска высотным работам №823.,5,3,assigned,2026-05-03 09:00:00,3,18.0
40,Замена фильтров вентиляционной системе №785.,9,1,escalated,2026-03-04 08:55:00,16,1.0
41,Отсутствует освещение в зоне №634.,2,1,closed,2026-03-11 16:25:00,4,17.0
42,Задержка аванса март сотрудники не получили выплату.,6,1,in_progress,2026-03-09 15:55:00,3,20.0
43,В распределительном щите №826 искрит.,2,3,in_progress,2026-04-12 09:10:00,17,20.0
44,В распределительном щите №21 искрит.,2,5,resolved,2026-05-14 15:35:00,8,19.0
45,Нужен сварщик №792 разряда сборочный цех.,6,2,closed,2026-03-13 12:20:00,20,2.0
46,Обучение нового сотрудника участке №705.,10,4,new,2026-04-22 07:10:00,20,9.0
